ZIPCODE,Year,Quarter,NSA,Index_Type
14,2020,2,256.98,Native 3-Digit ZIP index
14,2020,3,262.40,Native 3-Digit ZIP index
14,2020,4,269.73,Native 3-Digit ZIP index
14,2021,1,276.44,Native 3-Digit ZIP index
14,2021,2,295.67,Native 3-Digit ZIP index
14,2021,3,312.39,Native 3-Digit ZIP index
14,2021,4,317.68,Native 3-Digit ZIP index
15,1995,1,100.00,Native 3-Digit ZIP index
15,1995,2,100.82,Native 3-Digit ZIP index
15,1995,3,102.61,Native 3-Digit ZIP index
15,1995,4,102.49,Native 3-Digit ZIP index
15,1996,1,103.36,Native 3-Digit ZIP index
15,1996,2,103.38,Native 3-Digit ZIP index
15,1996,3,103.41,Native 3-Digit ZIP index
15,1996,4,104.50,Native 3-Digit ZIP index
15,1997,1,106.40,Native 3-Digit ZIP index
15,1997,2,107.15,Native 3-Digit ZIP index
15,1997,3,107.91,Native 3-Digit ZIP index
15,1997,4,109.43,Native 3-Digit ZIP index
15,1998,1,110.59,Native 3-Digit ZIP index
15,1998,2,112.29,Native 3-Digit ZIP index
15,1998,3,114.68,Native 3-Digit ZIP index
15,1998,4,116.16,Native 3-Digit ZIP index
15,1999,1,117.47,Native 3-Digit ZIP index
15,1999,2,121.25,Native 3-Digit ZIP index
15,1999,3,124.75,Native 3-Digit ZIP index
15,1999,4,127.00,Native 3-Digit ZIP index
15,2000,1,132.59,Native 3-Digit ZIP index
15,2000,2,136.94,Native 3-Digit ZIP index
15,2000,3,141.11,Native 3-Digit ZIP index
15,2000,4,144.50,Native 3-Digit ZIP index
15,2001,1,148.13,Native 3-Digit ZIP index
